Аптека;Товар;Изготовитель;Страна;Штрихкод;Цена розничная;Цена закупочная;Цена завода с НДС;Цена реестра;Остаток;Сумма опт;Срок годности;Серия;Сертификат;Дата сертификата;Орган сертификации;Срок действия сертификата;Регистрационные номер;НГТД;Номер документа поставщика;Дата документа поставщика;Документ поставки;Поставщик;НДС;Наценка;Группа;Отдел
Аптека №210;Ватные палочки амелия №200;Гигровата;Россия;4640006090399;49;33,04;0;0;1;33,04;01.06.2117;062017;РОСС RU.АГ81.Н02601;17.03.2017;АГ81 ОС Бирюза ООО;16.03.2020;;;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;18;48,305084745763;;2;
Аптека №210;Глюкованс 2,5мг/500мг №30;Мерк сантэ с.а.с.;Франция;3596540060118;264;219,35;0;0;1;219,35;01.09.2019;Y0878;РОСС FR.ФМ08.Д50366;27.01.2017;ФМ08 ОЦКК Москва;30.09.2019;;10130060/060217/0001789/1;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;20,355596079325;;1;
Аптека №210;Глюкованс 500мг/5мг таб п/о №30;Меркле ГмбХ;Франция;3596540060125;299;249,86;0;0;1;249,86;01.09.2019;Y0868;РОСС FR.ФМ08.Д47946;28.12.2016;ФМ08 ОЦКК Москва;30.09.2019;;10130060/110117/0000148/2;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;19,667013527575;;1;
Аптека №210;Де-нол 120мг №112;Астеллас Фарма Юроп Б.В./Ортат ЗАО;Россия;4606556001865;1037;876,64;804,28;820,36;1;876,64;01.09.2020;496122016;РОСС RU.ФВ14.Д34004;30.12.2016;ФВ14 ЗАО "Техкачество";01.09.2020;;10117070/221116/0026726/1;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;19,938329934849;ЖНВЛС,Стоп Цена;1;
Аптека №210;Мовасин 10мг/мл 1,5мл амп №5;Синтез;Россия;4602565018597;124;86;0;0;1;86;01.08.2020;150717;РОСС RU.ФМ05.Д01555;08.08.2017;ФМ05 ОЦС Екатеринбург;01.08.2020;;;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;44,186046511628;;1;
Аптека №210;Платки носовые зева делюкс /гранат №10х10;ЭсСиЭй Хайджин Продактс Словакия с.р.о.;Россия;7322540587258;120;65,86;0;0;0,4;26,344;01.04.2067;042017;РОСС RU.АВ71.Д40097;16.06.2016;АВ71 ОС ОптимаТест ООО;15.06.2017;;;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;18;82,204676586699;Делимый товар;2;
Аптека №210;Ортанол 10мг капс №28;Сандоз;Словения;3838957057115;199;157,08;144,45;131,5;1;157,08;31.10.2018;GU1989;РОСС SI.ФМ08.Д57349;03.04.2017;ФМ08 ОЦКК Москва;31.10.2018;;10130032/040417/0002184/07;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;29,02042229145;ЖНВЛС;1;
Аптека №210;Санорин 0,1% 10мл назал кап;Тева;Чехия;8594737176241;159;115,15;0;0;1;115,15;31.01.2020;100001472;РОСС СZ.ФМ15.Д38150;25.07.2017;ФМ15 "Окружной центр контроля качества";31.01.2020;;10013040/260717/0000557/1;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;38,080764220582;;1;
Аптека №210;Синекод 1,5мг/мл сироп 200мл;Новартис Консьюмер Хелс С.А.;Швейцария;4607045192262;359;298,47;0;0;1;298,47;31.10.2019;T04639A;РОСС СН.ФМ09.Д03783;07.03.2017;ФМ09  ИФБ ООО  Москва;31.10.2019;;10130060/060317/0003690/02;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;20,280095151942;;1;
Аптека №210;Экзифин 1% крем 10г;Д-р Редди'с Лабораторис Лтд;Индия;8901148028029;264;182;0;0;1;182;30.09.2019;L6274;РОСС IN.ФМ15.Д26791;07.02.2017;ФМ15 "Окружной центр контроля качества";30.09.2019;;10130032/070217/0000792/1;344487/16;03.11.2017;Приход от поставщика №344487/16;БСС ООО;10;45,054945054945;;1;
Аптека №210;Аминазин Валента 100мг таб п/о №10;Валента Фармацевтика ОАО;Россия;4602193011847;304;243,9;243,44;221,31;1;243,9;01.05.2020;160417;РОСС RU.ФМ11.Д85050;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.05.2019;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;24,687808084128;ЖНВЛС;1;
Аптека №210;Анвимакс капс №20;Фармпроект ЗАО;Россия;4605964004116;264;217,35;0;0;1;217,35;01.09.2019;040917;РОСС RU.РА01.Д00756;01.01.1900;RA.RU.10РА01 Федеральная служба по аккредитации Росаккредитация, г.Москва;01.09.2019;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;21,463077984817;;1;
Аптека №210;Анвимакс 5г порошок пак №12 лимон-мед;ФармВИЛАР;Россия;4605964003911;289;239,88;0;0;1;239,88;01.01.2020;2230617;РОСС RU.ФМ11.Д88306;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.01.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;20,476905119226;;1;
Аптека №210;Боро плюс крем д/ухода за кожей без запаха 25мл;Эмами;ИНДИЯ;8901248333061;99;67,71;0;0;1;67,71;01.03.2020;GL0008;ЕАЭС N RU Д-IN.АЖ16.В.01245;01.01.1900;;31.05.2020;;10130030/200617/0003099/3;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;46,211785556048;;2;
Аптека №210;Гастрацид жев таб №20;Натур продукт;Нидерланды;8717627102797;164;125,49;0;0;1;125,49;01.04.2020;400040417;РОСС PL.ФМ15.Д34668;01.01.1900;РОСС.RU.0001.11ФМ15 ООО "Окружной Центр Контроля Качества",г.Москва;01.04.2020;;10130032/050617/0003673/4;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;30,687704199538;;1;
Аптека №210;Деготь березовый 40мл (Мирролла);Мирролла;Россия;4650001792464;44;28,06;0;0;1;28,06;01.05.2020;0490875;ТС N RU Д-RU.АГ92.В.11837;01.01.1900;РОСС RU.0001.11АГ92 Орган по сертификации продукции  ООО "Капитал Строй";02.06.2019;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;56,806842480399;;2;
Аптека №210;Дексаметазон 0,5мг №10 (Эллара);Эллара МЦ;Россия;4670008162596;66;46,42;49,9;85,92;1;46,42;01.06.2021;170617;РОСС RU.РА01.Д96460;01.01.1900;RA.RU.10РА01 Федеральная служба по аккредитации Росаккредитация, г.Москва;01.06.2021;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;39,238476953908;Делимый товар,ЖНВЛС;1;
Аптека №210;Клацид СР ретард 500мг таб №7;Эйсика Куинборо Лимитед;СОЕДИНЕННОЕ КОРОЛЕВСТВО;8002660020062;624;502,71;487,1;443,99;1;502,71;31.08.2021;6070286;РОСС GB.ФМ15.Д34538;01.01.1900;РОСС.RU.0001.11ФМ15 ООО "Окружной Центр Контроля Качества",г.Москва;31.08.2021;;10130030/020617/0002638/002;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;24,900431122973;ЖНВЛС;1;
Аптека №210;Контейнер д/образцов биоматериалов стер с ложкой 60мл;Перинт ЗАО;Россия;4627084350096;19;6,875;0;0;5;34,375;01.08.2020;08 17;POCC RU.АА74.Н00004;01.01.1900;РОСС RU.0001.11АА74 Орган по сертификации перевязочных ,шовных и полимерных мате;14.06.2017;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;176,36363636364;;1;
Аптека №210;Лакалют Актив зубная паста 50мл;Др.Тайсс Натурварен ГмбХ;Германия;4010439201349;184;127,06;0;0;1;127,06;01.05.2020;1027057;ТС № RU Д-DE.АВ07.В.00225;01.01.1900;РОСС RU.0001.11АВ07 Орган по сертификации ФГУ "ЦНИИ СТОМАТОЛОГИИ И ЧЕЛЮСТНО-ЛИЦЕ;02.07.2018;;10113110/220916/0053280/01;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;44,813473949315;;2;
Аптека №210;Левомицетин Актитаб 500мг таб №10;Оболенское Фармпредприятие;Россия;4605077004607;109;86,69;86,04;78,22;1;86,69;01.11.2019;3271016;РОСС RU.МП25.Д68962;01.01.1900;РОСС RU.0001.21МП25 ООО "Центр ЭКСПЕРТФАРМ", г.Москва;01.11.2019;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;25,92980009298;ЖНВЛС;1;
Аптека №210;Лоратадин 10мг таб №30;Озон;Россия;4607027765163;54;43,9675;48,83;70;2;87,935;01.01.2021;611216;РОСС RU.ФМ05.Д70521;01.01.1900;РОСС.RU.0001.11ФМ05 ООО "Окружной Центр сертификации", г. Екатеринбург.;01.01.2021;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;20,545771042392;ЖНВЛС;1;
Аптека №210;Миг 400мг таб п/о №20;Берлин-Хеми/Менарини Фарма ГмбХГермания;Германия;4013054008010;149;119,99833333333;119,06;109,46;4;479,99333333332;01.02.2020;71358;РОСС DE.ФМ11.Д86823;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.02.2020;;10130130/080617/0008447/2;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;24,358866677865;ЖНВЛС;1;
Аптека №210;Манинил 5мг таб №120;Берлин-Хеми/Менарини Фарма ГмбХГермания;Германия;4013054000922;129;101,12;102,22;94,01;1;101,12;01.03.2020;71010;РОСС DE.ФМ11.Д89766;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.03.2020;;10013140/180717/0000933/2;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;27,274505967521;ЖНВЛС;1;
Аптека №210;Ноопепт 10мг таб №50;Фармстандарт-Лексредств;Россия;4601669010766;354;292,74;0;0;1;292,74;01.02.2020;20117;РОСС RU.ФМ05.Д76326;01.01.1900;РОСС.RU.0001.11ФМ05 ООО "Окружной Центр сертификации", г. Екатеринбург.;01.02.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;20,926419348227;;1;
Аптека №210;Ноотропил 20% 5мл р-р в/в в/м амп №12;Эйсика Фармасьютикалз;Италия;4603149000557;349;278,95;276,77;252,59;1;278,95;31.08.2021;16I21;РОСС IT.ФМ15.Д22114;01.01.1900;РОСС.RU.0001.11ФМ15 ООО "Окружной Центр Контроля Качества",г.Москва;31.08.2021;;10130030/011216/0005238/2;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;25,309824041623;ЖНВЛС;1;
Аптека №210;Отривин комплекс спрей 10мл;Новартис Консьюмер Хелс С.А.;Швейцария;4607045192019;224;193,565;0;0;1;193,565;30.04.2020;U01823A;POCC CH.ФМ09.Д05728;01.01.1900;РОСС.RU.0001.11ФМ09 ООО "Институт фармацевтическиой биотехнологии", г.Москва.;30.04.2020;;10013060/070717/0000519/02;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;15,723400408132;;1;
Аптека №210;Палин 200мг капс №20;ФармФирмаСотекс ,ЗАО;Россия;4605964000064;279;229,6;0;0;1;229,6;01.02.2022;120917;РОСС RU.ФМ11.Д95702;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.02.2022;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;21,515679442509;;1;
Аптека №210;Пангрол 25000ед капс №20;Берлин-Хеми АГ;Италия;4013054013595;549;436,07;444,02;408,3;1;436,07;01.02.2019;71198;РОСС DE.ФМ11.Д90052;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.02.2019;;10013140/170717/0000820/3;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;25,433539029773;ЖНВЛС;1;
Аптека №210;Зубная паста президент актив 50мл;Бетафарма С.п.А.;Италия;8030009500067;179;126;0;0;1;126;01.06.2020;0504;ТС N RU Д-RU.АВ07.В.00543;01.01.1900;РОСС RU.0001.11АВ07 Орган по сертификации ФГУ "ЦНИИ СТОМАТОЛОГИИ И ЧЕЛЮСТНО-ЛИЦЕ;18.11.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;42,063492063492;;2;
Аптека №210;Псило-бальзам гель 20г;Нижфарм ОАО;Россия;4601026306532;254;208,63;0;0;1;208,63;14.06.2020;210617;РОСС RU.ФМ11.Д93519;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;14.06.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;21,7466327949;;1;
Аптека №210;Реню Мульти Плюс д/чувствит глаз раствор д/линз 360мл;Бауш энд Ломб Инк;Италия;7391899829302;449;343,7;0;0;1;343,7;01.05.2019;MC0522;РОСС US.ИМ18.Д00322;01.01.1900;POCC RU.0001.11.ИМ18 Орган по сертификации продукции ООО "Орган по сертификации;07.02.2020;;10130020/090217/0001733/1;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;30,63718359034;;1;
Аптека №210;Сиофор 1000мг таб п/о №60;Берлин-Хеми/Менарини Фарма ГмбХГермания;Германия;4013054007365;459;365,245;366,48;336,97;2;730,49;01.04.2020;72092;РОСС DE.ФМ11.Д95156;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.04.2020;;10013140/220917/0005012/1;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;25,582569308011;ЖНВЛС;1;
Аптека №210;Термометр электронный Термовал Рапид;Пауль Хартманн;Германия;4052199218007;354;270,44;0;0;1;270,44;01.01.2099;01012100;РОСС JP.ИМ41.Д05661;01.01.1900;РОСС RU.0001.11ИМ41 ООО "ЦЕНТР СЕРТИФИКАЦИИ И ДЕКЛАРИРОВАНИЯ";29.09.2018;;10115070/020517/0020760/1;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;0;30,897796183997;;3;
Аптека №210;Феназепам 1мг таб №50;Валентина Фармацевтика;Россия;4602193001046;129;100,12;97,58;88,71;2;200,24;01.04.2020;390317;РОСС RU.ФМ11.Д82828;01.01.1900;ROCC.RU.0001.11ФМ11 ООО "Формат Качества" г.Москва;01.04.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;29,596228735397;ЖНВЛС,Наркотические средства;1;
Аптека №210;Флюкостат 150мг капс №1;Фармстандарт-Лексредства;Россия;4601669004246;219;171,995;173,03;157,32;2;343,99;01.09.2020;310817;РОСС RU.ФМ05.Д04310;01.01.1900;РОСС.RU.0001.11ФМ05 ООО "Окружной Центр сертификации", г. Екатеринбург.;01.09.2020;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;10;27,165809397214;ЖНВЛС;1;
Аптека №210;Прокладки ола бархатистая нормал ультра №10;ОЛТЕКС С.А. ЗАО;Россия;4680007630392;84;61,96;0;0;1;61,96;01.08.2020;08.2017;POCC RU.АЯ12.Д04229;01.01.1900;РОСС RU.0001.11АЯ12 Орган по сертификации "ВНИИС";11.02.2018;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;35,57133634603;;2;
Аптека №210;Тампоны ола нормал шелковистая поверхность №16;ОЛТЕКС С.А. ЗАО;Россия;4680007632068;189;130,31;0;0;1;130,31;01.07.2022;07.2017;;01.01.1900;;01.01.1900;;;Р-3715831;03.11.2017;Приход от поставщика №Р-3715831;СИА Интернейшнл ООО;18;45,038753741079;;2;
Аптека №210;Алфлутоп 10мг/мл 1мл амп №10;К.О. Ромфарм Компани С.р.Л./К.О. Биотехнос С.А.;Румыния;5944700100019;1514;1371,82;1371,82;0;1;1371,82;30.04.2020;3220517;РОСС RO.ФВ14.Д50803;15.09.2017;Техкачество,ЗАО;30.04.2020;;10013060/130917/0005601/1;604435-17;02.11.2017;Приход от поставщика №604435-17;Катрен НПК АО;10;10,364333513143;Стоп Цена;1;
